顺序	神奇宝贝百科编号	全国图鉴编号	名字	备注
900	594	594	保姆曼波	
901	595	595	电电虫	
902	596	596	电蜘蛛	
903	597	597	种子铁球	
904	598	598	坚果哑铃	
905	599	599	齿轮儿	
906	600	600	齿轮组	
907	601	601	齿轮怪	
908	602	602	麻麻小鱼	
909	603	603	麻麻鳗	
910	604	604	麻麻鳗鱼王	
911	605	605	小灰怪	
912	606	606	大宇怪	
913	607	607	烛光灵	
914	608	608	灯火幽灵	
915	609	609	水晶灯火灵	
916	610	610	牙牙	
917	611	611	斧牙龙	
918	612	612	双斧战龙	
919	613	613	喷嚏熊	
920	614	614	冻原熊	
921	615	615	几何雪花	
922	616	616	小嘴蜗	
923	617	617	敏捷虫	
924	618	618	泥巴鱼	
925	618G	618	泥巴鱼	伽勒尔
926	619	619	功夫鼬	
927	620	620	师父鼬	
928	621	621	赤面龙	
929	622	622	泥偶小人	
930	623	623	泥偶巨人	
931	624	624	驹刀小兵	
932	625	625	劈斩司令	
933	626	626	爆炸头水牛	
934	627	627	毛头小鹰	
935	628	628	勇士雄鹰	
936	628H	628	勇士雄鹰	洗翠
937	629	629	秃鹰丫头	
938	630	630	秃鹰娜	
939	631	631	熔蚁兽	
940	632	632	铁蚁	
941	633	633	单首龙	
942	634	634	双首暴龙	
943	635	635	三首恶龙	
944	636	636	燃烧虫	
945	637	637	火神蛾	
946	638	638	勾帕路翁	
947	639	639	代拉基翁	
948	640	640	毕力吉翁	
949	641	641	龙卷云	化身
950	641T	641	龙卷云	灵兽
951	642	642	雷电云	化身
952	642T	642	雷电云	灵兽
953	643	643	莱希拉姆	
954	644	644	捷克罗姆	
955	645	645	土地云	化身
956	645T	645	土地云	灵兽
957	646	646	酋雷姆	
958	646W	646	酋雷姆	焰白
959	646B	646	酋雷姆	暗黑
960	647	647	凯路迪欧	平常
961	647R	647	凯路迪欧	觉悟
962	648	648	美洛耶塔	歌声
963	648P	648	美洛耶塔	舞步
964	649	649	盖诺赛克特	
965	649S	649	盖诺赛克特	闪电卡带
966	649B	649	盖诺赛克特	火焰卡带
967	649C	649	盖诺赛克特	冰冻卡带
968	649D	649	盖诺赛克特	水流卡带
969	650	650	哈力栗	
970	651	651	胖胖哈力	
971	652	652	布里卡隆	
972	653	653	火狐狸	
973	654	654	长尾火狐	
974	655	655	妖火红狐	
975	656	656	呱呱泡蛙	
976	657	657	呱头蛙	
977	658	658	甲贺忍蛙	
978	658A	658	甲贺忍蛙	小智
979	659	659	掘掘兔	
980	660	660	掘地兔	
981	661	661	小箭雀	
982	662	662	火箭雀	
983	663	663	烈箭鹰	
984	664	664	粉蝶虫	
985	665	665	粉蝶蛹	
986	666Icy	666	彩粉蝶	雪国花纹
987	666Pol	666	彩粉蝶	雪原花纹
988	666Tun	666	彩粉蝶	大陆花纹
989	666Con	666	彩粉蝶	庭园花纹
990	666Gar	666	彩粉蝶	高雅花纹
991	666Ele	666	彩粉蝶	冰雪花纹
992	666	666	彩粉蝶	花园花纹
993	666Mod	666	彩粉蝶	摩登花纹
994	666Mar	666	彩粉蝶	大海花纹
995	666Arc	666	彩粉蝶	群岛花纹
996	666Hig	666	彩粉蝶	荒野花纹
997	666San	666	彩粉蝶	沙尘花纹
998	666Riv	666	彩粉蝶	大河花纹
999	666Mon	666	彩粉蝶	骤雨花纹
1000	666Sav	666	彩粉蝶	热带草原花纹
1001	666Sun	666	彩粉蝶	太阳花纹
1002	666Oce	666	彩粉蝶	大洋花纹
1003	666Jun	666	彩粉蝶	热带雨林花纹
1004	666Fan	666	彩粉蝶	幻彩花纹
1005	666Pok	666	彩粉蝶	球球花纹
1006	667	667	小狮狮	
1007	668	668	火炎狮	
1008	668F	668	火炎狮	雌性
1009	669	669	花蓓蓓	红花
1010	669Y	669	花蓓蓓	黄花
1011	669O	669	花蓓蓓	橙花
1012	669B	669	花蓓蓓	蓝花
1013	669W	669	花蓓蓓	白花
1014	670	670	花叶蒂	红花
1015	670Y	670	花叶蒂	黄花
1016	670O	670	花叶蒂	橙花
1017	670B	670	花叶蒂	蓝花
1018	670W	670	花叶蒂	白花
1019	670E	670	花叶蒂	永恒之花
1020	671	671	花洁夫人	红花
1021	671Y	671	花洁夫人	黄花
1022	671O	671	花洁夫人	橙花
1023	671B	671	花洁夫人	蓝花
1024	671W	671	花洁夫人	白花
1025	672	672	坐骑小羊	
1026	673	673	坐骑山羊	
1027	674	674	顽皮熊猫	
1028	675	675	霸道熊猫	
1029	676	676	多丽米亚	
1030	676He	676	多丽米亚	心形造型
1031	676St	676	多丽米亚	星形造型
1032	676Di	676	多丽米亚	菱形造型
1033	676De	676	多丽米亚	淑女造型
1034	676Ma	676	多丽米亚	贵妇造型
1035	676Da	676	多丽米亚	绅士造型
1036	676La	676	多丽米亚	女王造型
1037	676Ka	676	多丽米亚	歌舞伎造型
1038	676Ph	676	多丽米亚	国王造型
1039	677	677	妙喵	
1040	678	678	超能妙喵	
1041	678F	678	超能妙喵	雌性
1042	679	679	独剑鞘	
1043	680	680	双剑鞘	
1044	681	681	坚盾剑怪	盾牌
1045	681B	681	坚盾剑怪	刀剑
1046	682	682	粉香香	
1047	683	683	芳香精	
1048	684	684	绵绵泡芙	
1049	685	685	胖甜妮	
1050	686	686	好啦鱿	
1051	687	687	乌贼王	
1052	688	688	龟脚脚	
1053	689	689	龟足巨铠	
1054	690	690	垃垃藻	
1055	691	691	毒藻龙	
1056	692	692	铁臂枪虾	
1057	693	693	钢炮臂虾	
1058	694	694	伞电蜥	
1059	695	695	光电伞蜥	
1060	696	696	宝宝暴龙	
1061	697	697	怪颚龙	
1062	698	698	冰雪龙	
1063	699	699	冰雪巨龙	
1064	700	700	仙子伊布	
1065	701	701	摔角鹰人	
1066	702	702	咚咚鼠	
1067	703	703	小碎钻	
1068	704	704	黏黏宝	
1069	705	705	黏美儿	
1070	705H	705	黏美儿	洗翠
1071	706	706	黏美龙	
1072	706H	706	黏美龙	洗翠
1073	707	707	钥圈儿	
1074	708	708	小木灵	
1075	709	709	朽木妖	
1076	710	710	南瓜精	
1077	710S	710	南瓜精	S
1078	710L	710	南瓜精	L
1079	710XL	710	南瓜精	XL
1080	711	711	南瓜怪人	
1081	711S	711	南瓜怪人	S
1082	711L	711	南瓜怪人	L
1083	711XL	711	南瓜怪人	XL
1084	712	712	冰宝	
1085	713	713	冰岩怪	
1086	713H	713	冰岩怪	洗翠
	713HL	713	冰岩怪	洗翠王
1087	714	714	嗡蝠	
1088	715	715	音波龙	
1089	716N	716	哲尔尼亚斯	放松
1090	716	716	哲尔尼亚斯	活跃
1091	717	717	伊裴尔塔尔	
1092	718	718	基格尔德	50%形态
1093	718T	718	基格尔德	10%形态
1094	718C	718	基格尔德	完全体形态
1095	719	719	蒂安希	
1096	719M	719	蒂安希	超级进化
1097	720	720	胡帕	惩戒
1098	720U	720	胡帕	解放
1099	721	721	波尔凯尼恩	
1100	722	722	木木枭	
1101	723	723	投羽枭	
1102	724	724	狙射树枭	
1103	724H	724	狙射树枭	洗翠
1104	725	725	火斑喵	
1105	726	726	炎热喵	
1106	727	727	炽焰咆哮虎	
1107	728	728	球球海狮	
1108	729	729	花漾海狮	
1109	730	730	西狮海壬	
1110	731	731	小笃儿	
1111	732	732	喇叭啄鸟	
1112	733	733	铳嘴大鸟	
1113	734	734	猫鼬少	
1114	735	735	猫鼬探长	
1115	736	736	强颚鸡母虫	
1116	737	737	虫电宝	
1117	738	738	锹农炮虫	
1118	739	739	好胜蟹	
1119	740	740	好胜毛蟹	
1120	741	741	花舞鸟	热辣热辣
1121	741Po	741	花舞鸟	啪滋啪滋
1122	741Pa	741	花舞鸟	呼拉呼拉
1123	741Se	741	花舞鸟	轻盈轻盈
1124	742	742	萌虻	
1125	743	743	蝶结萌虻	
1126	744	744	岩狗狗	
1127	745	745	鬃岩狼人	
1128	745Mn	745	鬃岩狼人	黑夜
1129	745D	745	鬃岩狼人	黄昏
1130	746	746	弱丁鱼	
1131	746Sc	746	弱丁鱼	鱼群
1132	747	747	好坏星	
1133	748	748	超坏星	
1134	749	749	泥驴仔	
1135	750	750	重泥挽马	
1136	751	751	滴蛛	
1137	752	752	滴蛛霸	
1138	753	753	伪螳草	
1139	754	754	兰螳花	
1140	755	755	睡睡菇	
1141	756	756	灯罩夜菇	
1142	757	757	夜盗火蜥	
1143	758	758	焰后蜥	
1144	759	759	童偶熊	
1145	760	760	穿着熊	
1146	761	761	甜竹竹	
1147	762	762	甜舞妮	
1148	763	763	甜冷美后	
1149	764	764	花疗环环	
1150	765	765	智挥猩	
1151	766	766	投掷猴	
1152	767	767	胆小虫	
1153	768	768	具甲武者	
1154	769	769	沙丘娃	
1155	770	770	噬沙堡爷	
1156	771	771	拳海参	
1157	772	772	属性：空	
1158	773	773	银伴战兽	一般
1159	773Fig	773	银伴战兽	格斗
1160	773Fly	773	银伴战兽	飞行
1161	773Poi	773	银伴战兽	毒
1162	773Gro	773	银伴战兽	地面
1163	773Roc	773	银伴战兽	岩
1164	773Bug	773	银伴战兽	虫
1165	773Gho	773	银伴战兽	幽灵
1166	773Ste	773	银伴战兽	钢
1167	773Fir	773	银伴战兽	火
1168	773Wat	773	银伴战兽	水
1169	773Gra	773	银伴战兽	草
1170	773Ele	773	银伴战兽	电
1171	773Psy	773	银伴战兽	超能力
1172	773Ice	773	银伴战兽	冰
1173	773Dra	773	银伴战兽	龙
1174	773Dar	773	银伴战兽	恶
1175	773Fai	773	银伴战兽	妖精
1176	774	774	小陨星	
1177	774R	774	小陨星	红色核心
1178	774O	774	小陨星	橙色核心
1179	774Y	774	小陨星	黄色核心
1180	774G	774	小陨星	绿色核心
1181	774B	774	小陨星	浅蓝色核心
1182	774I	774	小陨星	蓝色核心
1183	774V	774	小陨星	紫色核心
1184	775	775	树枕尾熊	
1185	776	776	爆焰龟兽	
1186	777	777	托戈德玛尔	
1187	778	778	谜拟丘	化形
1188	778B	778	谜拟丘	现形
1189	779	779	磨牙彩皮鱼	
1190	780	780	老翁龙	
1191	781	781	破破舵轮	
1192	782	782	心鳞宝	
1193	783	783	鳞甲龙	
1194	784	784	杖尾鳞甲龙	
1195	785	785	卡璞・鸣鸣	
1196	786	786	卡璞・蝶蝶	
1197	787	787	卡璞・哞哞	
1198	788	788	卡璞・鳍鳍	
1199	789	789	科斯莫古	
1200	790	790	科斯莫姆	
1201	791	791	索尔迦雷欧	
1202	792	792	露奈雅拉	
1203	793	793	虚吾伊德	
1204	794	794	爆肌蚊	
1205	795	795	费洛美螂	
1206	796	796	电束木	
1207	797	797	铁火辉夜	
1208	798	798	纸御剑	
1209	799	799	恶食大王	
1210	800	800	奈克洛兹玛	
1211	800DM	800	奈克洛兹玛	黄昏之鬃
1212	800DW	800	奈克洛兹玛	拂晓之翼
1213	800U	800	奈克洛兹玛	究极
1214	801	801	玛机雅娜	
1215	801O	801	玛机雅娜	500年前
1216	802	802	玛夏多	
1217	803	803	毒贝比	
1218	804	804	四颚针龙	
1219	805	805	垒磊石	
1220	806	806	砰头小丑	
1221	807	807	捷拉奥拉	
1222	808	808	美录坦	
1223	809	809	美录梅塔	
1224	809GM	809	美录梅塔	超极巨化
1225	810	810	敲音猴	
1226	811	811	啪咚猴	
1227	812	812	轰擂金刚猩	
1228	812GM	812	轰擂金刚猩	超极巨化
1229	813	813	炎兔儿	
1230	814	814	腾蹴小将	
1231	815	815	闪焰王牌	
1232	815GM	815	闪焰王牌	超极巨化
1233	816	816	泪眼蜥	
1234	817	817	变涩蜥	
1235	818	818	千面避役	
1236	818GM	818	千面避役	超极巨化
1237	819	819	贪心栗鼠	
1238	820	820	藏饱栗鼠	
1239	821	821	稚山雀	
1240	822	822	蓝鸦	
1241	823	823	钢铠鸦	
1242	823GM	823	钢铠鸦	超极巨化
1243	824	824	索侦虫	
1244	825	825	天罩虫	
1245	826	826	以欧路普	
1246	826GM	826	以欧路普	超极巨化
1247	827	827	狡小狐	
1248	828	828	猾大狐	
1249	829	829	幼棉棉	
1250	830	830	白蓬蓬	
1251	831	831	毛辫羊	
1252	832	832	毛毛角羊	
1253	833	833	咬咬龟	
1254	834	834	暴噬龟	
1255	834GM	834	暴噬龟	超极巨化
1256	835	835	来电汪	
1257	836	836	逐电犬	
1258	837	837	小炭仔	
1259	838	838	大炭车	
1260	839	839	巨炭山	
1261	839GM	839	巨炭山	超极巨化
1262	840	840	啃果虫	
1263	841	841	苹裹龙	
1264	841GM	841	苹裹龙	超极巨化
1265	842	842	丰蜜龙	
1266	842GM	842	丰蜜龙	超极巨化
1267	843	843	沙包蛇	
1268	844	844	沙螺蟒	
1269	844GM	844	沙螺蟒	超极巨化
1270	845	845	古月鸟	
1271	845Gu	845	古月鸟	一口吞
1272	845Go	845	古月鸟	大口吞
1273	846	846	刺梭鱼	
1274	847	847	戽斗尖梭	
1275	848	848	电音婴	
1276	849	849	颤弦蝾螈	高调
1277	849L	849	颤弦蝾螈	低调
1278	849GM	849	颤弦蝾螈	超极巨化
1279	850	850	烧火蚣	
1280	851	851	焚焰蚣	
1281	851GM	851	焚焰蚣	超极巨化
1282	852	852	拳拳蛸	
1283	853	853	八爪武师	
1284	854	854	来悲茶	
1285	855	855	怖思壶	
1286	856	856	迷布莉姆	
1287	857	857	提布莉姆	
1288	858	858	布莉姆温	
1289	858GM	858	布莉姆温	超极巨化
1290	859	859	捣蛋小妖	
1291	860	860	诈唬魔	
1292	861	861	长毛巨魔	
1293	861GM	861	长毛巨魔	超极巨化
1294	862	862	堵拦熊	
1295	863	863	喵头目	
1296	864	864	魔灵珊瑚	
1297	865	865	葱游兵	
1298	866	866	踏冰人偶	
1299	867	867	迭失板	
1300	868	868	小仙奶	
1301	869	869	霜奶仙	奶香香草
1302	869B	869	霜奶仙	
1303	869L	869	霜奶仙	
1304	869St	869	霜奶仙	
1305	869C	869	霜奶仙	
1306	869F	869	霜奶仙	
1307	869R	869	霜奶仙	
1308	869CS	869	霜奶仙	焦糖综合
1309	869CSB	869	霜奶仙	
1310	869CSL	869	霜奶仙	
1311	869CSSt	869	霜奶仙	
1312	869CSC	869	霜奶仙	
1313	869CSF	869	霜奶仙	
1314	869CSR	869	霜奶仙	
1315	869RC	869	霜奶仙	奶香红钻
1316	869RCB	869	霜奶仙	
1317	869RCL	869	霜奶仙	
1318	869RCSt	869	霜奶仙	
1319	869RCC	869	霜奶仙	
1320	869RCF	869	霜奶仙	
1321	869RCR	869	霜奶仙	
1322	869RuS	869	霜奶仙	红钻综合
1323	869RuSB	869	霜奶仙	
1324	869RuSL	869	霜奶仙	
1325	869RuSSt	869	霜奶仙	
1326	869RuSC	869	霜奶仙	
1327	869RuSF	869	霜奶仙	
1328	869RuSR	869	霜奶仙	
1329	869MaC	869	霜奶仙	奶香抹茶
1330	869MaCB	869	霜奶仙	
1331	869MaCL	869	霜奶仙	
1332	869MaCSt	869	霜奶仙	
1333	869MaCC	869	霜奶仙	
1334	869MaCF	869	霜奶仙	
1335	869MaCR	869	霜奶仙	
1336	869LC	869	霜奶仙	奶香柠檬
1337	869LCB	869	霜奶仙	
1338	869LCL	869	霜奶仙	
1339	869LCSt	869	霜奶仙	
1340	869LCC	869	霜奶仙	
1341	869LCF	869	霜奶仙	
1342	869LCR	869	霜奶仙	
1343	869SC	869	霜奶仙	奶香雪盐
1344	869SCB	869	霜奶仙	
1345	869SCL	869	霜奶仙	
1346	869SCSt	869	霜奶仙	
1347	869SCC	869	霜奶仙	
1348	869SCF	869	霜奶仙	
1349	869SCR	869	霜奶仙	
1350	869MiC	869	霜奶仙	奶香薄荷
1351	869MiCB	869	霜奶仙	
1352	869MiCL	869	霜奶仙	
1353	869MiCSt	869	霜奶仙	
1354	869MiCC	869	霜奶仙	
1355	869MiCF	869	霜奶仙	
1356	869MiCR	869	霜奶仙	
1357	869RaS	869	霜奶仙	三色综合
1358	869RaSB	869	霜奶仙	
1359	869RaSL	869	霜奶仙	
1360	869RaSSt	869	霜奶仙	
1361	869RaSC	869	霜奶仙	
1362	869RaSF	869	霜奶仙	
1363	869RaSR	869	霜奶仙	
1364	869GM	869	霜奶仙	超极巨化
1365	870	870	列阵兵	
1366	871	871	啪嚓海胆	
1367	872	872	雪吞虫	
1368	873	873	雪绒蛾	
1369	874	874	巨石丁	
1370	875	875	冰砌鹅	结冻头
1371	875NF	875	冰砌鹅	解冻头
1372	876	876	爱管侍	
1373	876F	876	爱管侍	雌性
1374	877	877	莫鲁贝可	满腹花纹
1375	877HM	877	莫鲁贝可	空腹花纹
1376	878	878	铜象	
1377	879	879	大王铜象	
1378	879GM	879	大王铜象	超极巨化
1379	880	880	雷鸟龙	
1380	881	881	雷鸟海兽	
1381	882	882	鳃鱼龙	
1382	883	883	鳃鱼海兽	
1383	884	884	铝钢龙	
1384	884GM	884	铝钢龙	超极巨化
1385	885	885	多龙梅西亚	
1386	886	886	多龙奇	
1387	887	887	多龙巴鲁托	
1388	888	888	苍响	
1389	888C	888	苍响	剑之王
1390	889	889	藏玛然特	
1391	889C	889	藏玛然特	盾之王
1392	890	890	无极汰那	
1393	890E	890	无极汰那	无极巨化
1394	891	891	熊徒弟	
1395	892	892	武道熊师	一击流
1396	892R	892	武道熊师	连击流
1397	892GM	892	武道熊师	一击流超极巨化
1398	892RGM	892	武道熊师	连击流超极巨化
1399	893	893	萨戮德	
1400	893D	893	萨戮德	阿爸
1401	894	894	雷吉艾勒奇	
1402	895	895	雷吉铎拉戈	
1403	896	896	雪暴马	
1404	897	897	灵幽马	
1405	898	898	蕾冠王	
1406	898I	898	蕾冠王	骑白马
1407	898S	898	蕾冠王	骑黑马
1408	899	899	诡角鹿	
1409	900	900	劈斧螳螂	
	900L	900	劈斧螳螂	洗翠王
1410	901	901	月月熊	
1411	901B	901	月月熊	赫月
1412	902	902	幽尾玄鱼	
1413	902F	902	幽尾玄鱼	雌性
1414	903	903	大狃拉	
1415	904	904	万针鱼	
1416	905	905	眷恋云	化身
1417	905T	905	眷恋云	灵兽
1418	906	906	新叶喵	
1419	907	907	蒂蕾喵	
1420	908	908	魔幻假面喵	
1421	909	909	呆火鳄	
1422	910	910	炙烫鳄	
1423	911	911	骨纹巨声鳄	
1424	912	912	润水鸭	
1425	913	913	涌跃鸭	
1426	914	914	狂欢浪舞鸭	
1427	915	915	爱吃豚	
1428	916	916	飘香豚	
1429	916F	916	飘香豚	雌性
1430	917	917	团珠蛛	
1431	918	918	操陷蛛	
1432	919	919	豆蟋蟀	
1433	920	920	烈腿蝗	
1434	921	921	布拨	
1435	922	922	布土拨	
1436	923	923	巴布土拨	
1437	924	924	一对鼠	
1438	925	925	一家鼠	三只家庭
1439	925F	925	一家鼠	四只家庭
1440	926	926	狗仔包	
1441	927	927	麻花犬	
1442	928	928	迷你芙	
1443	929	929	奥利纽	
1444	930	930	奥利瓦	
1445	931	931	怒鹦哥	绿羽毛
1446	931B	931	怒鹦哥	蓝羽毛
1447	931Y	931	怒鹦哥	黄羽毛
1448	931W	931	怒鹦哥	白羽毛
1449	932	932	盐石宝	
1450	933	933	盐石垒	
1451	934	934	盐石巨灵	
1452	935	935	炭小侍	
1453	936	936	红莲铠骑	
1454	937	937	苍炎刃鬼	
1455	938	938	光蚪仔	
1456	939	939	电肚蛙	
1457	940	940	电海燕	
1458	941	941	大电海燕	
1459	942	942	偶叫獒	
1460	943	943	獒教父	
1461	944	944	滋汁鼹	
1462	945	945	涂标客	
1463	946	946	纳噬草	
1464	947	947	怖纳噬草	
1465	948	948	原野水母	
1466	949	949	陆地水母	
1467	950	950	毛崖蟹	
1468	951	951	热辣娃	
1469	952	952	狠辣椒	
1470	953	953	虫滚泥	
1471	954	954	虫甲圣	
1472	955	955	飘飘雏	
1473	956	956	超能艳鸵	
1474	957	957	小锻匠	
1475	958	958	巧锻匠	
1476	959	959	巨锻匠	
1477	960	960	海地鼠	
1478	961	961	三海地鼠	
1479	962	962	下石鸟	
1480	963	963	波普海豚	
1481	964	964	海豚侠	平凡
1482	964H	964	海豚侠	全能
1483	965	965	噗隆隆	
1484	966	966	普隆隆姆	
1485	966Se	966	普隆隆姆	阁道二天星队车
1486	966Ru	966	普隆隆姆	王良四天星队车
1487	966Ca	966	普隆隆姆	策星天星队车
1488	966Sc	966	普隆隆姆	阁道三天星队车
1489	966Na	966	普隆隆姆	王良一天星队车
1490	967	967	摩托蜥	
1491	968	968	拖拖蚓	
1492	969	969	晶光芽	
1493	970	970	晶光花	
1494	971	971	墓仔狗	
1495	972	972	墓扬犬	
1496	973	973	缠红鹤	
1497	974	974	走鲸	
1498	975	975	浩大鲸	
1499	976	976	轻身鳕	
1500	977	977	吃吼霸	
1501	978	978	米立龙	上弓姿势
1502	978D	978	米立龙	下垂姿势
1503	978S	978	米立龙	平挺姿势
1504	979	979	弃世猴	
1505	980	980	土王	
1506	981	981	奇麒麟	
1507	982	982	土龙节节	二节
1508	982Th	982	土龙节节	三节
1509	983	983	仆刀将军	
1510	984	984	雄伟牙	
1511	985	985	吼叫尾	
1512	986	986	猛恶菇	
1513	987	987	振翼发	
1514	988	988	爬地翅	
1515	989	989	沙铁皮	
1516	990	990	铁辙迹	
1517	991	991	铁包袱	
1518	992	992	铁臂膀	
1519	993	993	铁脖颈	
1520	994	994	铁毒蛾	
1521	995	995	铁荆棘	
1522	996	996	凉脊龙	
1523	997	997	冻脊龙	
1524	998	998	戟脊龙	
1525	999	999	索财灵	宝箱
1526	999R	999	索财灵	徒步
1527	1000	1000	赛富豪	
1528	1001	1001	古简蜗	
1529	1002	1002	古剑豹	
1530	1003	1003	古鼎鹿	
1531	1004	1004	古玉鱼	
1532	1005	1005	轰鸣月	
1533	1006	1006	铁武者	
1534	1007	1007	故勒顿	完全形态
1535	1007L	1007	故勒顿	制限形态
1536	1008	1008	密勒顿	完全形态
1537	1008L	1008	密勒顿	制限形态
1538	1009	1009	波荡水	
1539	1010	1010	铁斑叶	
1540	1011	1011	裹蜜虫	
1541	1012	1012	斯魔茶	
1542	1013	1013	来悲粗茶	
1543	1014	1014	够赞狗	
1544	1015	1015	愿增猿	
1545	1016	1016	吉雉鸡	
1546	1017	1017	厄诡椪	碧草面具
1547	1017W	1017	厄诡椪	水井面具
1548	1017H	1017	厄诡椪	火灶面具
1549	1017C	1017	厄诡椪	础石面具
1550	1018	1018	铝钢桥龙	
1551	1019	1019	蜜集大蛇	
1552	1020	1020	破空焰	
1553	1021	1021	猛雷鼓	
1554	1022	1022	铁磐岩	
1555	1023	1023	铁头壳	
1556	1024	1024	太乐巴戈斯	普通形态
1557	1024T	1024	太乐巴戈斯	太晶形态
1558	1024S	1024	太乐巴戈斯	星晶形态
1559	1025	1025	桃歹郎	
1560	036M	036	皮可西	超级进化
1561	071M	071	大食花	超级进化
1562	121M	121	宝石海星	超级进化
1563	149M	149	快龙	超级进化
1564	154M	154	大竺葵	超级进化
1565	160M	160	大力鳄	超级进化
1566	227M	227	盔甲鸟	超级进化
1567	478M	478	雪妖女	超级进化
1568	500M	500	炎武王	超级进化
1569	530M	530	龙头地鼠	超级进化
1570	545M	545	蜈蚣王	超级进化
1571	560M	560	头巾混混	超级进化
1572	604M	604	麻麻鳗鱼王	超级进化
1573	609M	609	水晶灯火灵	超级进化
1574	652M	652	布里卡隆	超级进化
1575	655M	655	妖火红狐	超级进化
1576	658M	658	甲贺忍蛙	超级进化
1577	668M	668	火炎狮	超级进化
1578	670M	670	花叶蒂	超级进化
1579	670A	670	花叶蒂	昂主
1580	687M	687	乌贼王	超级进化
1581	689M	689	龟足巨铠	超级进化
1582	691M	691	毒藻龙	超级进化
1583	701M	701	摔角鹰人	超级进化
1584	718M	718	基格尔德	超级进化
1585	780M	780	老翁龙	超级进化
1586	870M	870	列阵兵	超级进化
1587	026MX	026	雷丘	超级进化X
1588	026MY	026	雷丘	超级进化Y
1589	358M	358	风铃铃	超级进化
1590	359M	359	阿勃梭鲁	超级进化
1591	398M	398	姆克鹰	超级进化
1592	445MZ	445	烈咬陆鲨	超级进化Z
1593	448MZ	448	路卡利欧	超级进化Z
1594	485M	485	席多蓝恩	超级进化
1595	491M	491	达克莱伊	超级进化
1596	623M	623	泥偶巨人	超级进化
1597	678M	678	超能妙喵	超级进化
1598	740M	740	好胜毛蟹	超级进化
1599	768M	768	具甲武者	超级进化
1600	801M	801	玛机雅娜	超级进化
1601	801OM	801	玛机雅娜	超级进化（５００年前的颜色）
1602	807M	807	捷拉奥拉	超级进化
1603	952M	952	狠辣椒	超级进化
1604	970M	970	晶光花	超级进化
1605	978M	978	米立龙	超级进化
1606	978DM	978	米立龙	超级进化（下垂姿势）
1607	978SM	978	米立龙	超级进化（平挺姿势）
1608	998M	998	戟脊龙	超级进化
